timestamp,open,high,low,close,volume
2025-11-19 00:30:00,0.472175,0.472175,0.472175,0.472175,0.0
2025-11-19 00:45:00,0.473702,0.473702,0.473702,0.473702,21.10604097
2025-11-19 01:00:00,0.471311,0.471638,0.470701,0.470701,483.07094524
2025-11-19 01:15:00,0.47258,0.47375,0.47258,0.473164,1259.45361798
2025-11-19 01:30:00,0.473438,0.473438,0.473438,0.473438,100.0
2025-11-19 01:45:00,0.472018,0.472939,0.472018,0.472939,107.68083846
2025-11-19 02:00:00,0.473935,0.476231,0.473935,0.476231,201.72115521
2025-11-19 02:15:00,0.475939,0.475939,0.475939,0.475939,5.4464506
2025-11-19 02:30:00,0.475939,0.475939,0.475939,0.475939,0.0
2025-11-19 02:45:00,0.474709,0.475627,0.474666,0.475485,117.05525329
2025-11-19 03:00:00,0.474702,0.474722,0.474559,0.474562,289.20228509
2025-11-19 03:15:00,0.474562,0.474562,0.474562,0.474562,0.0
2025-11-19 03:30:00,0.474562,0.474562,0.474562,0.474562,0.0
2025-11-19 03:45:00,0.474562,0.474562,0.474562,0.474562,0.0
2025-11-19 04:00:00,0.470176,0.470983,0.46818,0.46818,28098.31480504
2025-11-19 04:15:00,0.469593,0.469847,0.469593,0.469847,1244.48429299
2025-11-19 04:30:00,0.469847,0.469847,0.469847,0.469847,0.0
2025-11-19 04:45:00,0.469847,0.469847,0.469847,0.469847,0.0
2025-11-19 05:00:00,0.469847,0.469847,0.469847,0.469847,0.0
2025-11-19 05:15:00,0.467456,0.467456,0.463212,0.463212,2642.07084525
2025-11-19 05:30:00,0.461366,0.461366,0.456938,0.456964,22378.93371582
2025-11-19 05:45:00,0.455354,0.457554,0.454344,0.456955,3565.43367182
2025-11-19 06:00:00,0.457829,0.459371,0.457115,0.459371,844.26800871
2025-11-19 06:15:00,0.458839,0.458839,0.458766,0.458766,123.99498856
2025-11-19 06:30:00,0.460365,0.461366,0.460365,0.461366,71.91989852
2025-11-19 06:45:00,0.461366,0.461366,0.461366,0.461366,0.0
2025-11-19 07:00:00,0.463547,0.463547,0.463547,0.463547,26.6304
2025-11-19 07:15:00,0.463547,0.463547,0.463547,0.463547,0.0
2025-11-19 07:30:00,0.464918,0.467456,0.464918,0.467456,289.03384078
2025-11-19 07:45:00,0.467456,0.467456,0.467456,0.467456,0.0
2025-11-19 08:00:00,0.467747,0.468025,0.46763,0.467875,106.8
2025-11-19 08:15:00,0.469628,0.469857,0.469628,0.469857,418.54003338
2025-11-19 08:30:00,0.467689,0.467689,0.466766,0.466766,1240.38002343
2025-11-19 08:45:00,0.466278,0.466574,0.466233,0.466351,134.0
2025-11-19 09:00:00,0.464895,0.464957,0.464895,0.464957,19806.44913308
2025-11-19 09:15:00,0.466184,0.466184,0.464068,0.464068,713.07384921
